store,store_type,date,hour,persona,passers,enters
零食店-长沙银杉路店,零食店,2026-03-29,10,学生,0,3
零食店-长沙银杉路店,零食店,2026-03-29,11,家庭主妇,74,6
零食店-长沙银杉路店,零食店,2026-03-29,11,退休老人,0,1
零食店-长沙银杉路店,零食店,2026-03-29,11,中青年,108,6
零食店-长沙银杉路店,零食店,2026-03-29,11,上班族,162,10
零食店-长沙银杉路店,零食店,2026-03-29,11,学生,8,11
零食店-长沙银杉路店,零食店,2026-03-29,12,家庭主妇,21,4
零食店-长沙银杉路店,零食店,2026-03-29,12,退休老人,6,3
零食店-长沙银杉路店,零食店,2026-03-29,12,中青年,37,2
零食店-长沙银杉路店,零食店,2026-03-29,12,上班族,283,17
零食店-长沙银杉路店,零食店,2026-03-29,12,学生,0,8
零食店-长沙银杉路店,零食店,2026-03-29,13,家庭主妇,164,9
零食店-长沙银杉路店,零食店,2026-03-29,13,退休老人,3,2
零食店-长沙银杉路店,零食店,2026-03-29,13,中青年,170,6
零食店-长沙银杉路店,零食店,2026-03-29,13,上班族,86,3
零食店-长沙银杉路店,零食店,2026-03-29,13,学生,0,7
零食店-长沙银杉路店,零食店,2026-03-29,14,家庭主妇,184,17
零食店-长沙银杉路店,零食店,2026-03-29,14,退休老人,2,2
零食店-长沙银杉路店,零食店,2026-03-29,14,中青年,191,12
零食店-长沙银杉路店,零食店,2026-03-29,14,上班族,114,8
零食店-长沙银杉路店,零食店,2026-03-29,14,学生,0,11
零食店-长沙银杉路店,零食店,2026-03-29,15,家庭主妇,290,19
零食店-长沙银杉路店,零食店,2026-03-29,15,退休老人,0,3
零食店-长沙银杉路店,零食店,2026-03-29,15,中青年,200,16
零食店-长沙银杉路店,零食店,2026-03-29,15,上班族,129,8
零食店-长沙银杉路店,零食店,2026-03-29,15,学生,0,12
零食店-长沙银杉路店,零食店,2026-03-29,16,家庭主妇,313,20
零食店-长沙银杉路店,零食店,2026-03-29,16,退休老人,2,2
零食店-长沙银杉路店,零食店,2026-03-29,16,中青年,187,13
零食店-长沙银杉路店,零食店,2026-03-29,16,上班族,123,8
零食店-长沙银杉路店,零食店,2026-03-29,16,学生,9,16
零食店-长沙银杉路店,零食店,2026-03-29,17,家庭主妇,191,22
零食店-长沙银杉路店,零食店,2026-03-29,17,退休老人,11,5
零食店-长沙银杉路店,零食店,2026-03-29,17,中青年,150,15
零食店-长沙银杉路店,零食店,2026-03-29,17,上班族,349,29
零食店-长沙银杉路店,零食店,2026-03-29,17,学生,3,21
零食店-长沙银杉路店,零食店,2026-03-29,18,家庭主妇,99,10
零食店-长沙银杉路店,零食店,2026-03-29,18,退休老人,3,4
零食店-长沙银杉路店,零食店,2026-03-29,18,中青年,45,6
零食店-长沙银杉路店,零食店,2026-03-29,18,上班族,512,34
零食店-长沙银杉路店,零食店,2026-03-29,18,学生,7,9
零食店-长沙银杉路店,零食店,2026-03-29,19,家庭主妇,243,13
零食店-长沙银杉路店,零食店,2026-03-29,19,退休老人,2,2
零食店-长沙银杉路店,零食店,2026-03-29,19,中青年,112,17
零食店-长沙银杉路店,零食店,2026-03-29,19,上班族,132,11
零食店-长沙银杉路店,零食店,2026-03-29,19,学生,0,10
零食店-长沙银杉路店,零食店,2026-03-29,20,家庭主妇,146,18
零食店-长沙银杉路店,零食店,2026-03-29,20,退休老人,2,4
零食店-长沙银杉路店,零食店,2026-03-29,20,中青年,99,15
零食店-长沙银杉路店,零食店,2026-03-29,20,上班族,71,9
零食店-长沙银杉路店,零食店,2026-03-29,20,学生,4,5
零食店-长沙银杉路店,零食店,2026-03-29,21,家庭主妇,148,12
零食店-长沙银杉路店,零食店,2026-03-29,21,退休老人,1,2
零食店-长沙银杉路店,零食店,2026-03-29,21,中青年,107,12
零食店-长沙银杉路店,零食店,2026-03-29,21,上班族,42,6
零食店-长沙银杉路店,零食店,2026-03-29,21,学生,0,2
零食店-长沙银杉路店,零食店,2026-03-29,22,家庭主妇,69,10
